EU5 ERROR LOG CATEGORIES
============================================================

Total error entries (excluding noise): 6116
Total categories: 82

 Count  Category                                  File
--------------------------------------------------------------------------------
   954  script_government_type                    script_government_type.txt
   930  bookmark_other                            bookmark_other.txt
   458  invalid_laws                              invalid_laws.txt
   349  missing_rulers                            missing_rulers.txt
   279  heir_selection_mismatch                   heir_selection_mismatch.txt
   240  invalid_estate_privileges                 invalid_estate_privileges.txt
   188  missing_births                            missing_births.txt
   158  other_character_manager                   other_character_manager.txt
   152  duplicated_keys                           duplicated_keys.txt
   151  invalid_policies                          invalid_policies.txt
   148  script_culture_invalid                    script_culture_invalid.txt
   148  script_religion_invalid                   script_religion_invalid.txt
   138  country_other                             country_other.txt
   136  ruler_term_overlaps                       ruler_term_overlaps.txt
   132  localization_other                        localization_other.txt
   126  pdx_reader_other                          pdx_reader_other.txt
   116  duplicate_location_owner                  duplicate_location_owner.txt
   111  duplicate_location_controller             duplicate_location_controller.txt
    99  script_scope_errors                       script_scope_errors.txt
    99  event_missing_outcome                     event_missing_outcome.txt
    99  other_international_organization          other_international_organization.txt
    90  other_jomini_eventmanager                 other_jomini_eventmanager.txt
    75  parse_errors                              parse_errors.txt
    65  script_other_errors                       script_other_errors.txt
    64  invalid_reforms                           invalid_reforms.txt
    59  other_dynasty_manager                     other_dynasty_manager.txt
    51  invalid_subject_types                     invalid_subject_types.txt
    46  other_ruler_term_container                other_ruler_term_container.txt
    35  other_jomini_effect                       other_jomini_effect.txt
    34  utility_errors                            utility_errors.txt
    33  other_location                            other_location.txt
    33  government_other                          government_other.txt
    30  other_building_manager                    other_building_manager.txt
    28  modifier_localization                     modifier_localization.txt
    24  invalid_relations                         invalid_relations.txt
    19  country_database_errors                   country_database_errors.txt
    18  missing_modifier_defs                     missing_modifier_defs.txt
    13  unknown_triggers                          unknown_triggers.txt
    12  other_static_modifier                     other_static_modifier.txt
    10  broken_dynasties                          broken_dynasties.txt
     9  parse_date_errors                         parse_date_errors.txt
     8  other_graphical_culturetype               other_graphical_culturetype.txt
     8  encoding_errors                           encoding_errors.txt
     7  missing_modifier_icons                    missing_modifier_icons.txt
     7  building_errors                           building_errors.txt
     7  event_missing_title                       event_missing_title.txt
     7  unknown_country_refs                      unknown_country_refs.txt
     7  no_court_country                          no_court_country.txt
     6  texture_errors                            texture_errors.txt
     6  coat_of_arms_errors                       coat_of_arms_errors.txt
     6  inconsistent_triggers                     inconsistent_triggers.txt
     6  unknown_effects                           unknown_effects.txt
     5  other_international_organization_type     other_international_organization_type.txt
     5  other_ruler_term                          other_ruler_term.txt
     4  other_pdx_localize                        other_pdx_localize.txt
     4  missing_db_fields                         missing_db_fields.txt
     4  assertion_failures                        assertion_failures.txt
     4  other_utility                             other_utility.txt
     4  other_message_handler                     other_message_handler.txt
     4  language_name_errors                      language_name_errors.txt
     4  invalid_spouse_gender                     invalid_spouse_gender.txt
     3  input_context_errors                      input_context_errors.txt
     3  invalid_locations                         invalid_locations.txt
     3  missing_character_culture                 missing_character_culture.txt
     3  no_ruler_in_setup                         no_ruler_in_setup.txt
     3  cabinet_blocked_characters                cabinet_blocked_characters.txt
     3  invalid_buildings                         invalid_buildings.txt
     2  duplicate_onaction_effects                duplicate_onaction_effects.txt
     2  localization_todos                        localization_todos.txt
     2  missing_onactions                         missing_onactions.txt
     2  other_character                           other_character.txt
     2  duplicate_reform_assignment               duplicate_reform_assignment.txt
     2  duplicate_location_assignment             duplicate_location_assignment.txt
     2  script_court_language                     script_court_language.txt
     2  no_primary_culture_pops                   no_primary_culture_pops.txt
     2  religion_mismatch                         religion_mismatch.txt
     2  script_capital_invalid                    script_capital_invalid.txt
     2  script_continent_invalid                  script_continent_invalid.txt
     1  version_mismatches                        version_mismatches.txt
     1  missing_event_targets                     missing_event_targets.txt
     1  other_pdx_arena_allocator                 other_pdx_arena_allocator.txt
     1  other_law_to_policy_map                   other_law_to_policy_map.txt
